,id,mode,fluid,Pr_min,Pr_max,G_min,G_max,D_min,D_max,tube_type,mu_f_min,mu_f_max,mu_g_min,mu_g_max,K_f_min,K_f_max,K_g_min,K_g_max,Sur_ten_f_min,Sur_ten_f_max,Pr_f_min,Pr_f_max,Pr_g_min,Pr_g_max,rho_f_min,rho_f_max,rho_g_min,rho_g_max,deviation
18,1,2,R142b,0.126,0.126,100,300,8,8,1,197.8255366,197.8255366,10.91559266,10.91559266,76.29420013,76.29420013,12.39964022,12.39964022,9.664491388,9.664491388,3.515585601,3.515585601,0.878194815,0.878194815,1074.202354,1074.202354,22.56568308,22.56568308,0.055
19,1,2,R507A,0.505,0.505,251,599,8,8,1,102.7024246,102.7024246,13.48245508,13.48245508,55.83438046,55.83438046,20.55568036,20.55568036,2.714955303,2.714955303,3.149605598,3.149605598,0.975007541,0.975007541,971.8668293,971.8668293,104.3847791,104.3847791,0.117
20,1,2,R404A,0.491,0.907,200,600,8,9.4,1,104.6498866,58.46919103,13.30257104,18.73174797,57.15464743,48.10661167,20.33972052,37.75651506,2.886139575,0.295510589,3.118953452,4.608463407,0.959818787,2.441062863,971.8175671,738.2923851,98.93443175,253.4393132,0.08
21,1,2,R502,0.411,0.411,600,600,8,8,1,109.8699166,109.8699166,14.77251665,14.77251665,54.9748035,54.9748035,16.4745846,16.4745846,2.779362217,2.779362217,2.801292452,2.801292452,1.058044085,1.058044085,1085.304767,1085.304767,126.4856988,126.4856988,0.21
22,2,1,Water,0.005,0.89,70,11071,5.02,15.8,1,274.7206014,57.40586114,12.31464593,26.8458249,678.071022,432.96089,24.8044591,230.3759771,58.45290181,1.198719799,1.709111725,2.652710314,1.037557277,4.490079522,956.6320393,501.2657203,0.647141175,162.2972916,0.171
23,7,2,R12,0.21,0.4,75,650,3.14,7.04,1,167.7441585,122.5909736,12.13755628,13.83313612,63.33060232,53.78857603,11.0877462,13.6542425,7.222842949,4.039950001,2.702011976,2.613752199,0.812109796,0.920754554,1269.817988,1149.488689,49.19102581,97.70435177,0.066
24,7,2,R22,0.21,0.4,75,650,3.14,7.04,1,164.1280647,121.1552247,12.51793587,14.15330093,83.41509252,71.33348674,11.34984089,14.41793151,8.093873994,4.564176897,2.474187914,2.43004703,0.963195574,1.10886425,1190.100223,1076.489222,44.40510976,88.64242977,0.066
25,7,2,R134a,0.21,0.4,75,650,3.14,7.04,1,175.1116057,126.2220869,12.06669657,13.47746593,77.46232292,66.73685468,14.7177806,18.06379908,6.923180873,3.904703506,3.308710238,3.10924267,0.895125073,1.016511824,1173.26526,1060.559003,41.6648297,83.87846012,0.066
26,7,2,R410A,0.21,0.4,75,650,3.14,7.04,1,136.2283315,98.64220143,12.95598953,14.73477669,95.42861687,82.14446987,13.93131186,18.97043088,6.832137407,3.433890543,2.292074737,2.279735515,1.189756664,1.379240056,1111.881124,987.2420308,47.19672976,97.70274528,0.066
27,14,1,Water,0.003,0.918,59.2,61518,2.95,32,1,319.7589565,55.3441406,11.83186769,27.84130023,671.9713756,432.4827963,23.47683897,267.4208011,61.103909,0.814969415,2.000416927,3.302746653,1.027015669,5.441572586,966.3191745,481.878395,0.401308754,176.8707716,0.211
28,14,1,R12,0.073,0.713,91,4850,14,20.5,1,246.846955,80.07233515,10.58734965,17.59139262,76.0596437,43.39294554,8.821541668,19.8365726,11.90541401,1.21585331,3.027930547,2.958931212,0.754125485,1.388691513,1398.047418,967.9270009,17.53008128,205.044499,0.213
29,14,1,R22,0.14,0.2,113,1699,11.68,18.6,1,191.9236928,167.4258058,11.83629128,12.42688541,89.86331852,84.23074529,10.17647257,11.18909526,10.16805594,8.350389188,2.567456482,2.483697156,0.918312195,0.956663469,1243.629738,1197.107831,29.55680582,42.24864498,0.213
