Manufacturer,Model,Refrigerant,Operating Condition,Displacement Volume,Capacity,Power,COP,Source,Minimum Voltage,Maximum Voltage,Frequency,Test Condition,Speed Type,Speed,Comments
GMCC,PA160M2A-3ETL,R410A,-,16,19210,1325,4.25,AC,208,230,60,GX,Fixed,3500,
GMCC,PA165M2A-3ETL,R410A,-,16.5,19653,1355,4.25,AC,208,230,60,GX,Fixed,3500,
GMCC,ASF155N1VET,R410A,-,15.6,18527,1240,4.38,AC,208,230,60,GX,Fixed,3500,
GMCC,ASG195N1VKP,R410A,-,19.5,23645,1575,4.4,AC,208,230,60,GX,Fixed,3500,
GMCC,ASG235N1VMT,R410A,-,23.5,28490,1920,4.35,AC,208,230,60,GX,Fixed,3500,
GMCC,ASM125S1VFT,R410A,-,12.5,12181,840,4.25,AC,230,230,50,GX,Fixed,2900,
GMCC,ASM127S1VFT,R410A,-,12.7,12556,860,4.28,AC,230,230,50,GX,Fixed,2900,
GMCC,ASM130S1VDZ,R410A,-,13,12761,880,4.25,AC,230,230,50,GX,Fixed,2900,
GMCC,PA180M2AS-7KUL,R410A,-,17.8,17794,1235,4.22,AC,230,230,50,GX,Fixed,2900,
GMCC,PA185M2AS-7KUL,R410A,-,18.5,18493,1285,4.22,AC,230,230,50,GX,Fixed,2900,
GMCC,PA190M2AS-7KUL,R410A,-,18.9,18681,1310,4.18,AC,230,230,50,GX,Fixed,2900,
GMCC,PA200M2A-7FUL,R410A,-,20,19414,1380,4.12,AC,230,230,50,GX,Fixed,2900,
GMCC,PA215M2AS-7KTL,R410A,-,21.6,21308,1515,4.12,AC,230,230,50,GX,Fixed,2900,
GMCC,ASF190S1VKT,R410A,-,19,19141,1290,4.35,AC,230,230,50,GX,Fixed,2900,
GMCC,PA186G2C-7KUL,R410A,-,18.6,18322,1280,4.2,AC,230,230,50,GX,Fixed,2900,
GMCC,PA196G2C-7KNL,R410A,-,19.6,19363,1305,4.35,AC,230,230,50,GX,Fixed,2900,
GMCC,PA221G2C-7MUL,R410A,-,21.9,21905,1465,4.38,AC,230,230,50,GX,Fixed,2900,
GMCC,ASG185S1VMU,R410A,-,18.5,19210,1295,4.35,AC,230,230,50,GX,Fixed,2900,
GMCC,ASG190S1VFT,R410A,-,19.1,18766,1255,4.38,AC,230,230,50,GX,Fixed,2900,
GMCC,ASG195S1VKU,R410A,-,19.5,18766,1285,4.38,AC,230,230,50,GX,Fixed,2900,
GMCC,ASG220S1VMU,R410A,-,22,22195,1480,4.4,AC,230,230,50,GX,Fixed,2900,
GMCC,ASG230S1VMU,R410A,-,22.9,23082,1530,4.42,AC,230,230,50,GX,Fixed,2900,
GMCC,ASN46V1VAZ1,R410A,-,4.6,4265,320,3.9,AC,220,240,50,GX,Fixed,2900,
GMCC,ASN58V1VZZ1,R410A,-,5.8,5545,411,3.95,AC,220,240,50,GX,Fixed,2900,
GMCC,ASM89V1VFZ,R410A,-,8.9,8479,592,4.2,AC,220,240,50,GX,Fixed,2900,
GMCC,ASM93V11VDZ,R410A,-,9.3,8769,615,4.18,AC,220,240,50,GX,Fixed,2900,
GMCC,ASM99V1VFZ,R410A,-,9.8,9485,650,4.28,AC,220,240,50,GX,Fixed,2900,
GMCC,ASM103V11VDZ,R410A,-,10.3,9895,675,4.3,AC,220,240,50,GX,Fixed,2900,
GMCC,ASM113V1VDZ,R410A,-,11.3,10970,745,4.32,AC,220,240,50,GX,Fixed,2900,
GMCC,ASM120V1VFT,R410A,-,12,11754,805,4.28,AC,220,240,50,GX,Fixed,2900,
GMCC,ASM125V1VFT,R410A,-,12.5,12317,845,4.27,AC,220,240,50,GX,Fixed,2900,
GMCC,ASM130V1VDZ,R410A,-,13,12829,885,4.25,AC,220,240,50,GX,Fixed,2900,
GMCC,ASM135V1VFT,R410A,-,13.3,13204,900,4.3,AC,220,240,50,GX,Fixed,2900,
GMCC,ASM140V1VFT,R410A,-,13.9,13853,945,4.3,AC,220,240,50,GX,Fixed,2900,
GMCC,PA150M2A-4FTL,R410A,-,15,14672,1025,4.2,AC,220,240,50,GX,Fixed,2900,
GMCC,PA190M2AS-4KUL1,R410A,-,18.9,18630,1270,4.3,AC,220,240,50,GX,Fixed,2900,
GMCC,PA190M2A-4EUL1,R410A,-,18.9,18698,1290,4.25,AC,220,240,50,GX,Fixed,2900,
GMCC,PA200M2A-4EUL,R410A,-,19.9,19653,1405,4.1,AC,220,240,50,GX,Fixed,2900,
GMCC,PA205M2AS-4MUL,R410A,-,20.4,20353,1420,4.2,AC,220,240,50,GX,Fixed,2900,
GMCC,PA196G2C-4MUL,R410A,-,19.6,19329,1335,4.24,AC,220,240,50,GX,Fixed,2900,
GMCC,PA206G2C-4KUL,R410A,-,20.8,20438,1410,4.25,AC,220,240,50,GX,Fixed,2900,
GMCC,PA216G2C-4FTL,R410A,-,21.6,21035,1440,4.28,AC,220,240,50,GX,Fixed,2900,
